DAILY_STRESS,SOCIAL_NETWORK,ACHIEVEMENT,BMI_RANGE,TODO_COMPLETED,DAILY_STEPS,SLEEP_HOURS,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_HOBBY,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
3,5,0,2,3,2,6,1,2,2,10,21 to 35,Male,591.7
3,8,10,1,5,2,6,2,10,6,10,51 or more,Female,729.4
5,2,2,2,2,10,8,1,2,0,10,36 to 50,Female,593.7
1,10,5,2,8,7,6,1,6,4,10,51 or more,Male,682.8
3,7,3,1,8,3,9,2,6,6,10,51 or more,Female,723.4
2,4,6,1,5,3,7,2,5,4,8,21 to 35,Female,687.3
3,3,2,2,0,3,5,2,4,0,2,51 or more,Female,635.9
3,10,1,2,5,2,9,1,10,0,10,51 or more,Female,655.2
2,10,3,1,7,7,7,1,3,5,8,21 to 35,Male,652.4
3,4,0,1,7,8,8,2,2,2,3,36 to 50,Female,657.9
5,10,5,1,10,10,5,2,7,2,2,36 to 50,Female,686.6
3,6,4,1,7,10,6,2,8,4,10,51 or more,Female,732.7
2,8,5,2,6,10,8,1,10,3,7,21 to 35,Female,685.5
2,10,8,2,10,7,7,2,10,3,10,51 or more,Female,742.5
3,10,5,2,7,2,8,2,4,1,1,36 to 50,Female,663.5
3,10,5,1,4,8,7,2,4,5,9,21 to 35,Female,710.4
5,10,4,2,8,10,8,2,3,3,5,21 to 35,Female,658.3
2,10,4,2,5,5,6,2,8,1,2,36 to 50,Male,633.1
2,9,3,1,5,6,8,2,2,3,5,51 or more,Female,677.9
2,2,5,2,4,1,6,2,3,4,4,21 to 35,Female,640.8
4,7,1,1,0,3,6,1,2,2,1,Less than 20,Female,557.9
2,10,1,2,6,5,8,2,10,1,2,36 to 50,Female,669.2
4,10,7,1,4,10,7,2,6,4,5,36 to 50,Male,712.5
3,2,4,1,9,10,7,2,10,1,7,51 or more,Female,712.5
5,2,0,1,0,1,10,1,1,0,0,21 to 35,Male,571.9
5,2,1,1,1,1,10,1,1,0,0,21 to 35,Male,575.3
3,8,5,1,7,8,7,2,3,9,4,21 to 35,Female,678.1
2,4,2,1,4,6,7,1,4,8,8,21 to 35,Male,648.8
1,5,1,1,5,8,6,2,4,1,7,21 to 35,Male,649
5,0,10,1,5,2,9,1,10,1,10,36 to 50,Female,656.9
3,6,6,1,8,5,6,2,5,4,8,21 to 35,Female,680.7
3,6,6,1,8,5,6,1,5,4,8,21 to 35,Female,663.7
1,4,1,2,5,10,7,2,5,3,10,21 to 35,Male,661.5
1,3,1,1,0,6,7,2,3,1,1,51 or more,Female,609.7
2,10,1,2,7,1,8,2,6,2,6,21 to 35,Female,656.5
3,10,3,1,9,8,8,2,5,6,10,21 to 35,Male,739.5
5,3,0,1,8,10,4,2,5,1,10,21 to 35,Female,657.5
4,3,1,2,1,4,4,1,1,0,0,36 to 50,Female,528.8
3,10,4,2,10,7,6,2,10,1,3,51 or more,Male,694.7
1,2,0,1,10,4,8,2,4,5,10,51 or more,Female,662.2
2,10,3,1,8,5,7,2,5,2,10,21 to 35,Female,704.7
2,5,0,1,8,10,8,2,10,1,6,36 to 50,Female,694
2,5,0,1,8,10,8,2,10,1,6,36 to 50,Female,694
3,7,3,1,8,10,8,1,10,3,7,21 to 35,Female,709.3
5,0,3,2,0,1,6,1,2,1,10,21 to 35,Male,538.8
1,3,4,1,2,8,8,2,1,1,10,Less than 20,Male,654.5
1,4,5,2,10,1,8,2,0,3,10,51 or more,Female,680.3
5,0,3,2,0,1,6,1,2,1,10,21 to 35,Male,538.8
4,7,8,2,7,3,6,2,10,0,4,21 to 35,Female,651.4
2,10,5,1,9,2,8,2,7,5,5,21 to 35,Female,724.7
2,10,5,2,5,6,6,2,8,2,5,51 or more,Female,677.5
4,10,6,2,6,7,6,2,10,3,7,51 or more,Female,696.4
4,5,3,1,8,2,8,1,10,6,4,36 to 50,Female,658.4
0,7,6,1,10,8,8,2,10,5,10,36 to 50,Female,749.7
0,7,6,1,10,8,8,2,10,5,10,36 to 50,Female,749.7
4,4,10,2,6,9,6,2,7,1,10,36 to 50,Female,676.4
4,5,2,2,1,9,6,2,2,0,10,21 to 35,Female,594.8
3,10,8,1,9,10,8,2,8,5,10,21 to 35,Female,758.6
4,3,4,1,5,7,6,2,10,1,10,21 to 35,Male,640.3
2,10,2,1,8,8,7,2,2,1,7,36 to 50,Male,678.1
3,10,3,2,8,4,6,2,10,1,7,36 to 50,Male,678.8
5,3,4,2,1,1,10,2,3,0,1,36 to 50,Female,551.5
5,8,1,1,9,10,6,1,4,2,1,21 to 35,Female,639.2
3,10,8,1,9,7,7,2,7,5,3,21 to 35,Female,718.7
3,10,7,1,9,5,7,2,7,3,3,21 to 35,Female,697.9
3,5,5,1,5,4,7,2,5,4,4,51 or more,Female,670.5
3,10,2,1,4,3,7,1,5,2,6,36 to 50,Female,666.9
4,8,6,2,4,8,6,1,4,2,3,21 to 35,Male,638.8
4,8,0,2,3,5,6,1,4,5,6,21 to 35,Female,651.8
2,3,4,1,8,10,9,1,4,2,9,21 to 35,Male,639.8
2,5,3,1,5,6,7,2,2,2,7,36 to 50,Female,687.9
3,4,0,2,1,2,7,2,1,0,2,21 to 35,Female,593.6
4,3,1,1,6,5,8,1,10,1,3,21 to 35,Female,626.7
2,10,10,1,7,3,6,1,10,1,7,21 to 35,Male,658.2
2,1,1,1,8,1,7,1,5,5,7,51 or more,Female,605.3
2,9,6,2,5,1,6,1,10,2,2,36 to 50,Female,645.9
2,2,5,1,4,6,8,2,5,5,6,21 to 35,Male,669.4
3,2,1,1,2,10,7,1,0,0,7,21 to 35,Female,605.4
2,5,3,2,9,5,6,2,5,2,8,51 or more,Female,690.9
2,3,5,1,7,1,9,2,10,5,10,Less than 20,Female,709.4
2,3,5,1,7,1,9,2,10,5,10,Less than 20,Female,709.4
5,10,0,2,10,10,6,1,0,3,10,21 to 35,Female,627.3
5,2,4,1,5,4,8,2,10,3,10,51 or more,Female,643.5
1,6,2,1,5,8,7,2,5,4,4,21 to 35,Male,637.3
2,5,2,1,5,9,10,2,1,2,4,21 to 35,Female,665.3
2,5,2,1,5,9,10,2,1,2,4,21 to 35,Female,665.3
2,5,8,1,7,10,9,2,8,3,10,21 to 35,Male,714.6
3,10,2,1,9,9,5,1,3,5,3,21 to 35,Female,649
2,10,4,1,9,10,7,2,9,1,10,36 to 50,Female,717.6
4,10,8,1,8,10,7,2,10,2,8,36 to 50,Male,748.2
5,5,1,1,3,9,7,2,6,0,10,36 to 50,Female,637.5
3,5,2,1,3,9,4,1,5,1,7,21 to 35,Female,628.4
4,5,2,1,3,3,5,2,2,4,5,Less than 20,Male,634.2
4,4,3,1,2,3,9,2,5,3,8,21 to 35,Male,653.7
3,2,10,1,8,10,8,1,10,4,10,21 to 35,Male,656.6
0,5,2,1,10,1,10,2,1,7,10,36 to 50,Female,670.5
2,7,1,2,2,1,8,2,0,0,4,36 to 50,Female,588.5
3,8,3,1,8,6,8,2,10,1,8,36 to 50,Female,672.8
4,10,4,1,7,10,6,2,6,3,5,21 to 35,Male,695.3
3,5,1,2,6,2,6,1,5,1,1,36 to 50,Male,591.7
2,10,2,2,8,5,9,2,3,1,8,21 to 35,Female,649
3,10,4,2,8,7,7,2,10,2,5,51 or more,Female,708.5
1,4,6,1,9,3,6,2,10,2,4,Less than 20,Female,673.5
4,3,1,1,1,4,5,2,1,0,4,21 to 35,Female,595.3
4,10,0,2,4,10,7,2,10,6,5,51 or more,Female,671.7
4,3,3,1,0,10,5,2,0,2,3,Less than 20,Female,625.4
1,7,5,1,7,7,10,2,1,3,7,Less than 20,Male,705.7
2,10,6,1,10,9,9,2,10,6,5,36 to 50,Male,753.5
1,10,5,1,8,8,10,2,1,5,7,Less than 20,Male,707.6
0,8,1,1,9,10,10,2,3,5,5,Less than 20,Male,713.1
2,1,3,2,9,7,6,2,4,8,4,51 or more,Female,687.9
3,8,10,1,5,2,6,2,10,6,10,51 or more,Female,729.4
3,5,10,2,8,5,7,2,5,3,7,51 or more,Female,665.6
2,2,0,2,2,2,8,1,4,0,1,21 to 35,Male,576.8
5,4,6,2,3,5,6,2,10,3,3,36 to 50,Female,602.5
4,4,3,1,5,7,6,2,5,2,7,36 to 50,Female,669.2
2,4,5,1,6,4,7,2,8,4,6,36 to 50,Female,680.7
5,10,3,1,4,4,9,2,3,9,5,36 to 50,Female,694.7
4,3,1,2,3,1,9,2,3,0,0,36 to 50,Female,612.5
3,7,1,1,7,5,7,2,6,2,10,36 to 50,Male,679.2
3,10,3,1,7,3,8,2,10,6,10,21 to 35,Male,677.3
1,10,3,1,10,6,7,2,4,1,10,36 to 50,Female,730.4
5,4,3,1,10,2,8,1,10,4,7,36 to 50,Female,658.4
3,2,5,1,9,4,6,2,7,2,6,36 to 50,Female,714.5
5,10,0,1,0,6,6,1,10,1,3,Less than 20,Female,619.7
3,5,2,1,8,6,7,2,7,3,5,21 to 35,Female,672.6
3,3,0,2,8,3,8,2,2,0,1,36 to 50,Female,602.5
3,4,2,1,8,5,7,2,9,1,7,51 or more,Female,689.4
2,6,4,2,8,2,7,2,10,4,3,51 or more,Male,683.7
2,6,4,2,8,2,7,2,10,4,3,51 or more,Male,683.7
5,4,4,1,9,4,6,2,6,0,1,51 or more,Female,632.9
1,7,5,1,5,5,8,2,10,1,4,21 to 35,Male,665.8
3,6,6,2,10,6,6,2,5,6,7,51 or more,Female,733.6
2,10,2,1,8,10,8,2,3,2,7,51 or more,Female,711
3,1,2,2,2,3,10,1,2,0,10,21 to 35,Male,558.7
3,10,5,1,10,10,8,2,7,10,5,51 or more,Female,753.5
2,5,4,1,6,3,7,1,8,4,4,21 to 35,Female,636.3
3,1,2,2,4,2,9,1,7,1,6,21 to 35,Female,604.2
4,7,2,2,2,2,5,1,8,1,5,51 or more,Male,620.4
4,6,3,1,7,10,5,2,0,0,3,21 to 35,Female,645.8
4,1,3,2,6,9,6,1,4,1,2,21 to 35,Male,594.8
3,10,7,2,10,10,6,2,6,5,8,21 to 35,Male,674.9
3,10,5,2,10,10,6,2,4,4,7,51 or more,Female,715.7
1,1,1,2,1,1,6,2,5,0,10,51 or more,Male,596.6
1,4,6,1,4,2,8,2,10,3,7,Less than 20,Male,680.5
1,4,6,1,4,2,8,2,10,3,7,Less than 20,Male,680.5
2,8,0,1,10,10,7,2,7,1,7,36 to 50,Female,715.9
3,2,2,2,5,10,7,2,5,1,3,51 or more,Female,639.4
1,9,5,1,5,7,8,2,2,1,9,21 to 35,Female,698.5
1,10,1,1,2,2,8,1,8,0,1,21 to 35,Male,639.7
4,4,4,1,5,5,7,2,5,10,10,51 or more,Female,714.9
2,5,3,1,3,9,7,2,7,2,8,21 to 35,Female,657.9
2,10,1,2,5,3,8,2,4,1,10,51 or more,Female,658.6
1,5,3,1,10,6,8,2,10,4,10,51 or more,Female,732.3
2,10,10,2,10,4,7,2,10,10,10,51 or more,Female,706.2
4,6,1,2,9,9,5,2,4,0,0,21 to 35,Female,642.2
2,5,4,1,4,7,9,2,8,2,9,51 or more,Female,702.1
3,8,5,1,5,6,7,1,10,5,10,21 to 35,Female,699.8
2,10,0,1,7,5,7,1,5,8,8,51 or more,Male,665.6
3,5,4,2,7,1,10,2,3,6,7,Less than 20,Female,677.3
2,10,5,1,7,10,7,2,10,4,4,36 to 50,Female,729.5
3,5,4,1,2,1,6,1,5,1,10,21 to 35,Female,628.9
5,4,0,1,2,1,8,1,2,1,3,21 to 35,Female,583.4
4,3,2,2,5,1,8,2,3,5,9,21 to 35,Male,597
4,3,4,1,6,8,7,2,10,3,3,21 to 35,Female,679.8
4,8,0,1,2,4,9,1,4,4,10,36 to 50,Male,628.4
4,5,3,2,2,1,5,2,10,0,2,36 to 50,Male,627
1,5,0,1,7,7,8,2,10,10,10,21 to 35,Male,739.3
4,7,8,2,8,10,8,2,7,7,7,36 to 50,Female,704.2
4,7,5,1,4,1,7,1,10,2,10,Less than 20,Female,661.4
4,3,4,1,6,8,7,2,10,3,3,21 to 35,Female,679.8
4,4,0,2,8,4,6,2,5,1,8,36 to 50,Male,615.9
4,7,7,1,8,8,8,2,10,4,9,51 or more,Female,741.2
1,3,3,2,7,10,8,1,5,5,10,36 to 50,Male,677
1,3,3,2,7,10,8,1,5,5,10,36 to 50,Male,677
4,10,4,2,9,3,7,2,10,1,2,51 or more,Male,644.8
1,10,4,1,8,10,6,2,5,5,10,21 to 35,Male,727.6
1,10,4,1,8,10,6,2,5,5,10,21 to 35,Male,727.6
4,1,3,2,7,3,6,1,10,1,3,36 to 50,Female,608.9
1,10,5,1,9,2,7,2,10,6,10,21 to 35,Female,734.7
4,2,2,1,2,3,10,1,10,1,8,21 to 35,Female,650.5
0,6,4,1,6,8,9,2,10,3,10,21 to 35,Male,743.1
1,10,10,2,8,5,9,2,10,5,10,51 or more,Female,725.5
1,10,7,1,8,8,6,2,10,5,10,21 to 35,Male,749.3
4,10,6,2,8,10,6,2,7,5,3,36 to 50,Female,703.8
5,10,4,1,5,8,6,2,5,2,5,51 or more,Female,660.9
2,4,6,1,5,2,7,1,5,5,10,36 to 50,Male,702.4
5,10,3,2,4,5,10,2,10,2,7,36 to 50,Male,639
5,10,3,2,4,5,10,2,10,2,7,36 to 50,Male,639
3,2,3,2,4,1,9,2,2,0,1,21 to 35,Male,609.1
0,5,0,2,0,9,4,2,2,4,10,51 or more,Male,645.4
2,9,5,1,6,7,8,2,9,3,3,36 to 50,Female,688.3
2,9,5,1,6,7,8,2,9,3,3,36 to 50,Female,688.3
1,4,6,1,6,4,9,2,6,3,4,21 to 35,Female,698.1
5,2,4,1,3,8,6,1,4,3,5,21 to 35,Female,615
2,7,8,1,9,9,7,2,6,5,10,36 to 50,Female,727.6
1,8,10,2,6,5,7,2,10,3,10,36 to 50,Female,720
3,10,10,2,6,10,7,2,4,4,10,36 to 50,Female,727.8
0,10,6,2,10,8,8,2,10,3,10,51 or more,Female,754.8
4,4,3,2,6,3,6,2,4,1,5,36 to 50,Male,624.2
2,6,7,1,8,7,8,2,4,1,4,36 to 50,Female,676.4
4,0,0,1,3,2,7,1,2,0,1,21 to 35,Male,573.2
5,0,0,2,0,1,5,2,10,0,1,51 or more,Female,581.1
3,5,2,1,6,3,7,2,2,2,5,36 to 50,Female,624.4
1,7,4,1,5,6,8,2,4,5,7,21 to 35,Female,667.7
2,3,8,2,4,6,8,2,4,5,8,21 to 35,Male,667.7
2,5,10,1,6,6,8,2,10,6,10,21 to 35,Female,754.4
3,10,7,1,6,6,6,2,10,3,7,36 to 50,Female,706.4
5,9,3,1,1,8,5,2,4,1,3,51 or more,Male,645.4
3,5,1,2,3,1,5,2,4,8,2,36 to 50,Female,598.1
2,3,0,1,3,7,7,2,5,0,4,21 to 35,Male,625.2
1,10,10,1,7,3,7,2,10,2,5,21 to 35,Male,728.1
3,8,1,1,4,2,7,2,7,0,7,51 or more,Female,668.4
3,8,3,1,8,6,8,2,10,1,8,36 to 50,Female,672.8
4,10,2,2,7,8,6,2,10,6,3,51 or more,Female,710.2
2,6,1,1,3,3,7,2,0,4,10,Less than 20,Male,629.5
3,10,1,1,5,8,6,2,5,2,4,36 to 50,Female,693.2
4,10,4,2,3,6,7,2,3,2,5,21 to 35,Male,638.6
3,10,7,2,6,7,8,2,10,4,10,36 to 50,Male,729.1
3,3,2,1,2,4,6,1,8,1,2,51 or more,Male,607.4
4,10,1,1,8,9,7,2,7,1,2,21 to 35,Male,685.1
5,10,4,1,5,5,8,2,3,3,10,21 to 35,Female,655.6
1,2,2,2,9,5,8,2,5,5,10,36 to 50,Female,664.1
2,3,5,1,4,3,8,2,7,1,5,21 to 35,Female,672.2
2,7,3,2,7,2,7,2,5,5,7,51 or more,Male,665
2,7,10,2,4,4,6,2,10,5,7,36 to 50,Female,687.3
1,5,1,1,9,4,8,2,4,3,3,51 or more,Female,646.9
4,2,8,1,8,8,8,2,7,1,5,51 or more,Male,681.7
1,8,8,1,10,10,7,2,6,5,7,51 or more,Male,741.4
1,10,10,2,9,10,8,2,10,7,5,21 to 35,Female,722.9
4,4,7,1,2,8,9,2,2,0,9,Less than 20,Female,620.7
4,3,0,1,3,8,8,2,1,0,5,Less than 20,Female,589.9
1,10,5,1,10,5,7,2,10,2,10,21 to 35,Male,720
3,1,1,2,1,5,8,2,3,1,3,21 to 35,Female,575.7
1,10,2,1,3,5,6,2,5,0,7,51 or more,Female,684.1
2,10,10,1,7,5,7,2,10,10,10,36 to 50,Female,769.3
3,6,4,1,1,3,6,2,6,1,3,36 to 50,Female,620.8
5,10,2,2,3,1,4,1,10,8,3,21 to 35,Female,601.3
2,10,10,2,10,8,5,2,10,10,10,51 or more,Female,771.2
2,5,1,2,7,8,7,2,4,1,10,51 or more,Female,671.3
5,7,4,1,5,2,7,2,3,3,10,21 to 35,Male,649.7
4,3,1,2,3,5,5,2,10,1,3,21 to 35,Male,600.6
2,10,4,1,10,8,7,2,5,2,10,36 to 50,Female,700.2
2,4,1,1,10,10,6,2,2,0,7,36 to 50,Female,646
1,7,2,2,5,3,7,2,3,6,6,36 to 50,Female,636.3
3,10,3,1,7,2,6,2,6,0,10,21 to 35,Female,681.8
1,10,8,2,5,5,5,2,7,9,5,36 to 50,Male,699.2
4,7,2,2,6,2,6,1,4,3,3,51 or more,Female,642.7
3,10,6,1,3,7,5,1,6,2,7,21 to 35,Female,665.6
0,6,2,2,5,5,6,2,5,10,7,51 or more,Male,684.1
3,6,3,2,1,6,6,2,7,2,8,36 to 50,Male,641.8
4,10,2,2,5,1,8,2,2,5,1,51 or more,Female,627.6
5,10,5,1,7,5,5,1,10,1,10,36 to 50,Male,673.7
4,6,10,2,8,3,7,2,10,3,5,51 or more,Male,682.2
3,5,0,2,5,1,6,2,2,0,1,36 to 50,Female,579.6
2,2,2,2,0,3,7,2,5,4,10,51 or more,Female,656.7
2,2,4,1,8,5,8,1,8,4,10,Less than 20,Female,655.6
2,6,7,1,6,8,9,2,5,6,10,Less than 20,Male,709.1
5,1,0,2,1,5,9,1,1,0,2,21 to 35,Female,553.8
4,7,1,2,3,7,8,2,7,0,10,21 to 35,Female,630.5
1,6,3,1,8,6,8,2,8,4,2,Less than 20,Female,710.2
1,7,10,1,8,8,5,2,10,4,10,36 to 50,Female,754.2
3,10,5,2,4,6,6,1,10,1,7,36 to 50,Female,657.1
5,10,2,1,9,10,6,1,2,2,4,21 to 35,Female,610.3
3,2,1,2,1,1,7,2,2,0,10,21 to 35,Male,556
5,10,0,2,0,5,6,1,0,0,7,21 to 35,Male,554.9
1,5,2,2,7,2,6,2,4,4,10,36 to 50,Male,683.5
2,6,5,1,10,10,8,2,10,5,10,21 to 35,Female,721.2
3,10,3,2,9,4,7,2,4,4,3,21 to 35,Male,668.8
2,10,2,2,7,5,7,1,1,5,10,36 to 50,Male,638.4
5,0,2,2,5,2,6,1,3,0,2,21 to 35,Female,559.4
4,10,9,1,6,7,8,2,10,2,7,36 to 50,Male,679.8
1,1,3,2,4,5,5,2,7,5,4,21 to 35,Male,632.9
3,10,5,1,8,6,8,2,10,10,6,36 to 50,Female,722.1
2,6,10,2,3,1,7,2,10,2,10,51 or more,Female,683.5
3,7,5,1,9,7,5,2,10,1,3,21 to 35,Female,691.1
0,3,4,1,8,9,7,2,7,7,5,36 to 50,Male,702.1
3,10,10,1,10,7,7,2,10,1,10,51 or more,Female,764.6
2,4,5,1,8,8,7,2,10,1,10,51 or more,Male,701.9
5,5,5,2,5,5,5,2,5,5,5,36 to 50,Male,656.7
3,10,10,2,8,2,5,2,10,4,6,51 or more,Female,703.7
3,10,3,2,9,2,7,2,4,1,7,21 to 35,Female,648
1,3,1,1,3,7,7,2,9,1,4,51 or more,Female,683
3,10,5,1,8,6,8,2,10,10,6,36 to 50,Female,722.1
1,5,6,1,5,3,8,2,3,1,6,21 to 35,Male,643.3
4,4,2,2,9,2,9,1,10,2,5,36 to 50,Male,643.3
2,8,2,2,9,3,7,2,6,1,7,36 to 50,Female,682.2
3,2,3,1,5,2,7,2,5,1,5,36 to 50,Female,646.3
3,3,1,1,4,5,5,2,10,1,2,36 to 50,Male,626.1
2,3,0,2,4,2,9,2,2,1,7,21 to 35,Female,622.9
4,5,9,2,5,4,7,1,9,3,10,36 to 50,Female,633.1
3,3,6,2,6,4,8,1,3,2,3,36 to 50,Male,609.5
4,10,6,2,0,10,6,2,4,0,0,36 to 50,Female,625.6
5,10,6,2,4,10,8,2,3,3,3,36 to 50,Female,656.6
4,10,3,2,8,4,8,2,10,1,3,36 to 50,Male,663.9
2,3,10,1,2,9,9,1,10,1,7,36 to 50,Female,704.2
3,4,2,1,3,6,8,2,4,2,6,36 to 50,Male,666
2,10,2,1,8,8,7,2,4,4,3,51 or more,Male,642.4
1,10,5,2,6,8,7,2,3,7,7,36 to 50,Female,686.6
1,6,1,1,7,6,9,2,2,0,6,51 or more,Male,659.4
3,10,5,1,8,6,8,2,10,10,6,36 to 50,Female,722.1
1,1,0,1,9,5,7,2,0,8,5,51 or more,Male,621.4
3,10,1,1,5,9,7,2,5,7,10,36 to 50,Female,731
3,10,4,1,6,10,8,1,1,1,10,21 to 35,Male,663.4
3,4,7,1,7,4,7,1,5,8,4,Less than 20,Female,667.1
5,2,1,2,5,4,8,1,1,1,3,36 to 50,Female,585.7
2,3,1,1,4,5,8,1,6,2,1,36 to 50,Female,626.7
5,5,3,2,4,4,6,1,5,1,3,21 to 35,Female,597.2
2,5,7,1,10,4,8,2,5,3,9,21 to 35,Female,675.8
1,3,8,1,10,10,8,2,4,5,3,51 or more,Female,729.7
3,2,3,1,7,6,8,2,10,2,7,36 to 50,Female,703.4
4,3,2,1,5,8,6,2,3,4,10,21 to 35,Female,655.8
2,2,1,1,3,5,8,1,5,1,4,21 to 35,Male,625
1,5,0,2,2,3,7,2,5,1,10,21 to 35,Male,626.1
4,6,6,1,6,5,7,1,4,5,4,21 to 35,Female,653.7
0,10,10,1,10,5,10,2,6,10,10,21 to 35,Male,724
2,5,5,1,3,6,7,2,6,9,5,21 to 35,Male,670.9
0,10,10,2,8,6,6,2,3,1,5,36 to 50,Female,699.6
1,3,1,2,9,6,7,2,3,0,4,21 to 35,Female,635.2
4,4,5,1,3,4,6,1,10,7,5,36 to 50,Female,655
3,3,2,1,8,5,7,1,5,1,10,21 to 35,Male,657.1
3,3,4,2,5,5,9,1,6,3,7,21 to 35,Male,611.6
4,10,5,2,6,2,8,2,10,1,7,36 to 50,Male,672
2,2,4,2,2,1,5,1,4,2,2,36 to 50,Male,584.5
4,6,6,1,6,10,8,1,7,1,10,51 or more,Female,685.5
4,4,2,2,2,2,6,1,2,0,3,36 to 50,Male,550.9
2,1,2,2,2,2,6,2,6,2,6,36 to 50,Male,603.6
1,5,2,1,6,8,7,2,3,2,5,36 to 50,Female,686.6
2,10,5,2,6,7,6,2,10,3,5,36 to 50,Female,696.4
2,7,2,1,5,10,7,2,2,3,7,21 to 35,Male,670
3,4,0,2,8,6,7,2,2,0,7,51 or more,Female,618.2
2,7,2,1,5,10,7,2,2,3,7,21 to 35,Male,670
2,10,7,2,3,5,7,2,4,3,3,51 or more,Female,684.3
2,3,5,1,6,2,8,2,3,3,6,21 to 35,Female,665.2
1,5,3,1,7,8,9,2,3,5,10,21 to 35,Male,700.6
3,6,3,2,4,3,7,2,10,10,7,51 or more,Female,656.7
3,8,10,1,7,10,7,2,10,8,10,Less than 20,Female,741.4
2,4,1,2,5,2,7,1,4,8,9,36 to 50,Male,627.6
2,6,3,1,6,1,5,1,5,0,3,36 to 50,Male,611.7
3,5,1,1,7,8,6,2,1,4,7,21 to 35,Male,645.6
1,3,5,2,8,4,7,2,10,4,7,21 to 35,Female,704.5
4,10,4,1,6,6,7,2,10,1,4,21 to 35,Female,684.5
2,4,3,1,10,10,8,2,10,5,10,21 to 35,Male,699.1
2,4,3,1,10,10,8,2,10,5,10,21 to 35,Male,699.1
3,5,1,1,6,10,7,2,10,1,7,36 to 50,Male,671.7
2,10,3,1,9,4,8,1,5,7,10,21 to 35,Male,694.5
5,3,10,1,1,1,7,1,4,3,10,Less than 20,Male,596.8
3,1,4,1,9,5,7,2,6,4,10,36 to 50,Female,691.1
3,1,4,2,9,7,9,2,1,2,10,21 to 35,Female,640.9
5,7,10,2,10,10,7,2,10,1,4,36 to 50,Male,661.5
2,2,1,2,5,1,6,1,10,1,10,36 to 50,Male,622.1
2,2,1,2,5,1,6,1,10,1,10,36 to 50,Male,622.1
2,10,5,1,7,8,7,2,10,5,10,21 to 35,Female,747.8
2,3,8,1,4,7,9,1,10,2,10,21 to 35,Female,690.2
4,8,6,1,9,3,8,2,5,6,8,36 to 50,Female,694.3
3,1,0,2,0,1,10,1,3,0,5,21 to 35,Female,551.5
3,4,6,1,5,6,7,1,10,2,7,21 to 35,Male,645.4
1,10,2,2,10,4,8,2,1,3,7,51 or more,Female,697.9
4,4,0,2,7,5,6,1,10,1,5,21 to 35,Female,633.1
